2014-05-19 21:09:25 Notice: Notice (8): Undefined offset:  3 in [/Applications/MAMP/htdocs/svtour/svt/views/helpers/tree.php, line 29]
2014-05-19 21:09:55 Notice: Notice (8): Undefined offset:  2 in [/Applications/MAMP/htdocs/svtour/svt/views/helpers/tree.php, line 23]
2014-05-19 21:09:55 Notice: Notice (8): Undefined index:   in [/Applications/MAMP/htdocs/svtour/svt/views/helpers/tree.php, line 23]
2014-05-19 21:09:55 Notice: Notice (8): Undefined offset:  3 in [/Applications/MAMP/htdocs/svtour/svt/views/helpers/tree.php, line 25]
2014-05-19 21:09:55 Notice: Notice (8): Undefined offset:  2 in [/Applications/MAMP/htdocs/svtour/svt/views/helpers/tree.php, line 25]
2014-05-19 21:09:55 Notice: Notice (8): Undefined index:   in [/Applications/MAMP/htdocs/svtour/svt/views/helpers/tree.php, line 25]
2014-05-19 21:09:55 Notice: Notice (8): Undefined offset:  3 in [/Applications/MAMP/htdocs/svtour/svt/views/helpers/tree.php, line 26]
2014-05-19 21:09:55 Notice: Notice (8): Undefined offset:  2 in [/Applications/MAMP/htdocs/svtour/svt/views/helpers/tree.php, line 26]
2014-05-19 21:09:55 Notice: Notice (8): Undefined index:   in [/Applications/MAMP/htdocs/svtour/svt/views/helpers/tree.php, line 26]
2014-05-19 21:09:55 Notice: Notice (8): Undefined offset:  2 in [/Applications/MAMP/htdocs/svtour/svt/views/helpers/tree.php, line 29]
2014-05-19 21:09:55 Notice: Notice (8): Undefined offset:  3 in [/Applications/MAMP/htdocs/svtour/svt/views/helpers/tree.php, line 29]
2014-05-19 21:20:48 Notice: Notice (8): Undefined index:  7 in [/Applications/MAMP/htdocs/svtour/svt/views/helpers/tree.php, line 49]
2014-05-19 21:20:48 Notice: Notice (8): Undefined variable: selectedEstado in [/Applications/MAMP/htdocs/svtour/svt/views/programas_circuitos/edit.ctp, line 37]
2014-05-19 21:20:48 Notice: Notice (8): Undefined index:   in [/Applications/MAMP/htdocs/svtour/svt/views/helpers/tree.php, line 49]
2014-05-19 21:20:48 Notice: Notice (8): Undefined variable: selectedEstado in [/Applications/MAMP/htdocs/svtour/svt/views/programas_circuitos/edit.ctp, line 37]
2014-05-19 21:21:51 Notice: Notice (8): Undefined index:   in [/Applications/MAMP/htdocs/svtour/svt/views/helpers/tree.php, line 49]
2014-05-19 21:22:01 Notice: Notice (8): Undefined offset:  0 in [/Applications/MAMP/htdocs/svtour/svt/views/helpers/tree.php, line 49]
2014-05-19 21:23:39 Notice: Notice (8): Undefined variable: selectedEstado in [/Applications/MAMP/htdocs/svtour/svt/views/programas_circuitos/edit.ctp, line 37]
2014-05-19 21:23:39 Notice: Notice (8): Undefined variable: selectedEstado in [/Applications/MAMP/htdocs/svtour/svt/views/programas_circuitos/edit.ctp, line 37]
2014-05-19 21:23:43 Notice: Notice (8): Undefined variable: selectedEstado in [/Applications/MAMP/htdocs/svtour/svt/views/programas_circuitos/edit.ctp, line 37]
2014-05-19 21:23:44 Notice: Notice (8): Undefined variable: selectedEstado in [/Applications/MAMP/htdocs/svtour/svt/views/programas_circuitos/edit.ctp, line 37]
2014-05-19 21:23:59 Notice: Notice (8): Undefined variable: selectedEstado in [/Applications/MAMP/htdocs/svtour/svt/views/programas_circuitos/edit.ctp, line 37]
